A	B	C	D	E
1 	 pm:cp_UTB_1_11 	 pm:cp_Cap_01_1 	 37.543208 	 3.611969
2 	 pm:cp_UTB_2_9 	 pm:cp_Cap_02_1 	 29.774408 	 6.870968
2 	 pm:cp_UTB_2_10 	 pm:cp_Cap_02_3 	 38.260952 	 11.785456
2 	 pm:cp_UTB_2_2 	 pm:cp_Can_02_3 	 53.075440 	 6.593078
3 	 pm:cp_UTB_3_1 	 pm:cp_Can_03_1 	 52.876999 	 22.539389
1 	 pm:cp_UTB_1_10 	 pm:cp_Cap_01_3 	 63.556649 	 6.707968
4 	 pm:cp_UTB_4_10 	 pm:cp_Cap_04_3 	 89.907856 	 27.551213
3 	 pm:cp_UTB_3_9 	 pm:cp_Cap_03_1 	 85.960586 	 26.504615
1 	 pm:cp_UTB_1_3 	 pm:cp_Can_01_1 	 19.006158 	 2.113000
2 	 pm:cp_UTB_2_7 	 pm:cp_Can_02_1 	 114.627682 	 27.871196
3 	 pm:cp_UTB_3_2 	 pm:cp_Can_03_3 	 95.232727 	 24.021389
4 	 pm:cp_UTB_4_11 	 pm:cp_Cap_04_1 	 31.888631 	 6.431968
3 	 pm:cp_UTB_3_10 	 pm:cp_Cap_03_3 	 97.462390 	 37.276379
4 	 pm:cp_UTB_4_4 	 pm:cp_Can_04_3 	 39.347019 	 9.790458
